State,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
United States,0.04,0.036000000000000004,0.036000000000000004,0.053,0.081,0.037000000000000005,0.039,0.044000000000000004,0.049,0.053,0.062,0.07400000000000001,0.081,0.08900000000000001,0.096,0.09300000000000001,0.057999999999999996,0.046,0.046,0.051,0.055,0.06,0.057999999999999996,0.047,0.04
Alabama,0.031,0.025,0.025,0.033,0.064,0.032,0.039,0.045,0.057999999999999996,0.061,0.068,0.07400000000000001,0.08199999999999999,0.096,0.10400000000000001,0.09699999999999999,0.059000000000000004,0.040999999999999995,0.04,0.045,0.055999999999999994,0.059000000000000004,0.059000000000000004,0.051,0.047
Alaska,0.046,0.042,0.043,0.064,0.083,0.055999999999999994,0.061,0.066,0.066,0.063,0.067,0.069,0.071,0.076,0.08,0.078,0.065,0.062,0.066,0.069,0.07400000000000001,0.077,0.07200000000000001,0.063,0.063
Arizona,0.036000000000000004,0.037000000000000005,0.038,0.05,0.078,0.048,0.048,0.05,0.055,0.061,0.068,0.078,0.084,0.095,0.10400000000000001,0.09699999999999999,0.057999999999999996,0.037000000000000005,0.043,0.046,0.05,0.057999999999999996,0.062,0.047,0.04
Arkansas,0.035,0.031,0.032,0.04,0.061,0.035,0.036000000000000004,0.037000000000000005,0.04,0.05,0.059000000000000004,0.07,0.07200000000000001,0.079,0.078,0.077,0.054000000000000006,0.054000000000000006,0.052000000000000005,0.053,0.055999999999999994,0.057999999999999996,0.053,0.048,0.042
California,0.053,0.047,0.043,0.073,0.10099999999999999,0.040999999999999995,0.043,0.048,0.055,0.062,0.076,0.09,0.10400000000000001,0.11699999999999999,0.12300000000000001,0.115,0.073,0.053,0.049,0.054000000000000006,0.062,0.069,0.067,0.055,0.049
Colorado,0.043,0.033,0.031,0.055,0.068,0.027000000000000003,0.03,0.026000000000000002,0.031,0.037000000000000005,0.05,0.067,0.08,0.087,0.092,0.08,0.048,0.037000000000000005,0.042,0.051,0.055999999999999994,0.061,0.057,0.038,0.027000000000000003
Connecticut,0.032,0.032,0.040999999999999995,0.065,0.08,0.036000000000000004,0.039,0.044000000000000004,0.049,0.055999999999999994,0.066,0.079,0.084,0.09,0.095,0.083,0.055999999999999994,0.045,0.044000000000000004,0.049,0.05,0.054000000000000006,0.044000000000000004,0.028999999999999998,0.021
Delaware,0.037000000000000005,0.038,0.042,0.054000000000000006,0.075,0.036000000000000004,0.037000000000000005,0.044000000000000004,0.045,0.048,0.055999999999999994,0.065,0.07,0.07400000000000001,0.083,0.08199999999999999,0.048,0.034,0.036000000000000004,0.040999999999999995,0.04,0.043,0.040999999999999995,0.035,0.034
District of Columbia,0.052000000000000005,0.048,0.047,0.068,0.08,0.055,0.057,0.061,0.062,0.069,0.077,0.084,0.08900000000000001,0.10099999999999999,0.098,0.096,0.065,0.055,0.057999999999999996,0.065,0.075,0.068,0.066,0.063,0.057
Florida,0.034,0.03,0.03,0.047,0.08,0.032,0.036000000000000004,0.043,0.049,0.055,0.065,0.075,0.087,0.102,0.113,0.102,0.063,0.04,0.033,0.037000000000000005,0.046,0.053,0.055999999999999994,0.047,0.037000000000000005
Georgia,0.035,0.033,0.032,0.039,0.065,0.036000000000000004,0.04,0.048,0.054000000000000006,0.061,0.071,0.081,0.09,0.1,0.10400000000000001,0.099,0.064,0.046,0.047,0.053,0.048,0.048,0.05,0.04,0.035
Hawaii,0.03,0.028999999999999998,0.033,0.06,0.11599999999999999,0.025,0.024,0.022000000000000002,0.028999999999999998,0.034,0.042,0.047,0.057999999999999996,0.067,0.067,0.065,0.040999999999999995,0.027999999999999997,0.025,0.027999999999999997,0.033,0.039,0.04,0.043,0.042
Idaho,0.037000000000000005,0.032,0.028999999999999998,0.036000000000000004,0.055,0.028999999999999998,0.028999999999999998,0.032,0.037000000000000005,0.039,0.044000000000000004,0.069,0.075,0.084,0.091,0.091,0.05,0.03,0.034,0.04,0.049,0.055999999999999994,0.057,0.051,0.046
Illinois,0.05,0.045,0.046,0.061,0.09300000000000001,0.04,0.044000000000000004,0.05,0.059000000000000004,0.06,0.07200000000000001,0.091,0.09,0.098,0.10400000000000001,0.1,0.065,0.051,0.046,0.057,0.062,0.067,0.065,0.054000000000000006,0.045
Indiana,0.042,0.034,0.031,0.039,0.073,0.033,0.034,0.035,0.044000000000000004,0.048,0.059000000000000004,0.075,0.08199999999999999,0.08900000000000001,0.1,0.102,0.059000000000000004,0.046,0.05,0.054000000000000006,0.054000000000000006,0.052000000000000005,0.051,0.042,0.03
Iowa,0.03,0.028999999999999998,0.027999999999999997,0.039,0.052000000000000005,0.027000000000000003,0.026000000000000002,0.031,0.036000000000000004,0.037000000000000005,0.043,0.047,0.05,0.055999999999999994,0.061,0.065,0.040999999999999995,0.037000000000000005,0.037000000000000005,0.043,0.045,0.045,0.04,0.033,0.027000000000000003
Kansas,0.036000000000000004,0.028999999999999998,0.027000000000000003,0.034,0.057999999999999996,0.032,0.033,0.036000000000000004,0.04,0.042,0.045,0.053,0.057,0.064,0.07,0.071,0.046,0.043,0.044000000000000004,0.051,0.055,0.055999999999999994,0.051,0.043,0.037000000000000005
Kentucky,0.051,0.043,0.04,0.045,0.065,0.040999999999999995,0.042,0.048,0.051,0.053,0.064,0.079,0.08199999999999999,0.094,0.10300000000000001,0.106,0.065,0.054000000000000006,0.057,0.059000000000000004,0.055,0.062,0.057999999999999996,0.052000000000000005,0.042
Louisiana,0.044000000000000004,0.037000000000000005,0.037000000000000005,0.055999999999999994,0.086,0.046,0.048,0.051,0.06,0.063,0.062,0.064,0.067,0.073,0.07400000000000001,0.067,0.047,0.040999999999999995,0.040999999999999995,0.071,0.057,0.062,0.06,0.055999999999999994,0.051
Maine,0.031,0.026000000000000002,0.028999999999999998,0.048,0.051,0.028999999999999998,0.032,0.034,0.038,0.044000000000000004,0.055999999999999994,0.067,0.07200000000000001,0.078,0.084,0.083,0.054000000000000006,0.047,0.047,0.049,0.047,0.051,0.044000000000000004,0.038,0.033
Maryland,0.03,0.022000000000000002,0.03,0.052000000000000005,0.065,0.034,0.038,0.040999999999999995,0.042,0.05,0.057,0.066,0.069,0.073,0.078,0.071,0.043,0.034,0.038,0.042,0.043,0.045,0.045,0.040999999999999995,0.036000000000000004
Massachusetts,0.04,0.035,0.036000000000000004,0.053,0.09300000000000001,0.03,0.035,0.038,0.04,0.048,0.057,0.067,0.067,0.07200000000000001,0.081,0.081,0.053,0.045,0.047,0.048,0.051,0.057,0.052000000000000005,0.038,0.027999999999999997
Michigan,0.047,0.039,0.042,0.057,0.1,0.040999999999999995,0.042,0.046,0.05,0.054000000000000006,0.07200000000000001,0.08800000000000001,0.091,0.10099999999999999,0.128,0.135,0.08199999999999999,0.071,0.069,0.068,0.07,0.071,0.062,0.052000000000000005,0.036000000000000004
Minnesota,0.03,0.027999999999999997,0.025,0.037000000000000005,0.063,0.033,0.03,0.034,0.039,0.038,0.042,0.05,0.057,0.066,0.07400000000000001,0.077,0.054000000000000006,0.046,0.040999999999999995,0.040999999999999995,0.046,0.048,0.044000000000000004,0.037000000000000005,0.031
Mississippi,0.032,0.031,0.038,0.054000000000000006,0.079,0.055,0.049,0.052000000000000005,0.06,0.065,0.076,0.085,0.08800000000000001,0.098,0.10099999999999999,0.092,0.067,0.061,0.064,0.077,0.062,0.061,0.064,0.055,0.053
Missouri,0.037000000000000005,0.031,0.026000000000000002,0.042,0.061,0.032,0.032,0.038,0.046,0.051,0.062,0.068,0.071,0.086,0.094,0.091,0.061,0.051,0.049,0.054000000000000006,0.059000000000000004,0.057,0.053,0.045,0.034
Montana,0.03,0.027000000000000003,0.027000000000000003,0.034,0.057999999999999996,0.035,0.037000000000000005,0.040999999999999995,0.043,0.043,0.046,0.053,0.057999999999999996,0.066,0.07200000000000001,0.071,0.047,0.034,0.034,0.040999999999999995,0.045,0.047,0.046,0.046,0.048
Nebraska,0.027999999999999997,0.023,0.022000000000000002,0.026000000000000002,0.043,0.031,0.028999999999999998,0.03,0.031,0.03,0.032,0.037000000000000005,0.039,0.044000000000000004,0.047,0.046,0.032,0.03,0.031,0.038,0.039,0.039,0.037000000000000005,0.032,0.027999999999999997
Nevada,0.055999999999999994,0.052000000000000005,0.052000000000000005,0.068,0.135,0.040999999999999995,0.044000000000000004,0.05,0.057999999999999996,0.069,0.08199999999999999,0.1,0.115,0.13,0.133,0.111,0.069,0.048,0.040999999999999995,0.042,0.044000000000000004,0.052000000000000005,0.055999999999999994,0.051,0.042
New Hampshire,0.026000000000000002,0.023,0.024,0.035,0.067,0.026000000000000002,0.026000000000000002,0.027999999999999997,0.028999999999999998,0.034,0.043,0.052000000000000005,0.055,0.055,0.061,0.061,0.038,0.035,0.035,0.036000000000000004,0.038,0.044000000000000004,0.045,0.034,0.027000000000000003
New Jersey,0.045,0.043,0.039,0.067,0.095,0.035,0.04,0.045,0.049,0.057,0.067,0.084,0.094,0.094,0.09699999999999999,0.08900000000000001,0.054000000000000006,0.042,0.047,0.044000000000000004,0.049,0.057999999999999996,0.057999999999999996,0.042,0.037000000000000005
New Mexico,0.040999999999999995,0.037000000000000005,0.040999999999999995,0.071,0.079,0.05,0.049,0.061,0.068,0.066,0.066,0.069,0.069,0.07200000000000001,0.078,0.071,0.044000000000000004,0.036000000000000004,0.042,0.052000000000000005,0.055999999999999994,0.059000000000000004,0.055,0.05,0.05
New York,0.043,0.040999999999999995,0.043,0.071,0.098,0.039,0.040999999999999995,0.046,0.049,0.052000000000000005,0.063,0.078,0.086,0.084,0.087,0.084,0.054000000000000006,0.044000000000000004,0.045,0.05,0.057999999999999996,0.064,0.062,0.049,0.045
North Carolina,0.036000000000000004,0.035,0.037000000000000005,0.049,0.07200000000000001,0.039,0.04,0.045,0.051,0.057,0.061,0.078,0.096,0.10400000000000001,0.10800000000000001,0.10800000000000001,0.059000000000000004,0.047,0.047,0.052000000000000005,0.055,0.063,0.065,0.055,0.038
North Dakota,0.024,0.02,0.021,0.031,0.05,0.022000000000000002,0.024,0.026000000000000002,0.03,0.027999999999999997,0.027000000000000003,0.028999999999999998,0.028999999999999998,0.033,0.037000000000000005,0.039,0.03,0.03,0.031,0.033,0.034,0.035,0.034,0.027999999999999997,0.028999999999999998
Ohio,0.043,0.037000000000000005,0.04,0.053,0.08199999999999999,0.040999999999999995,0.045,0.049,0.05,0.05,0.057999999999999996,0.07400000000000001,0.07400000000000001,0.08800000000000001,0.1,0.102,0.066,0.055999999999999994,0.054000000000000006,0.059000000000000004,0.062,0.062,0.057999999999999996,0.044000000000000004,0.040999999999999995
Oklahoma,0.033,0.032,0.03,0.04,0.063,0.031,0.033,0.04,0.046,0.043,0.043,0.051,0.051,0.055999999999999994,0.065,0.065,0.036000000000000004,0.04,0.039,0.043,0.047,0.054000000000000006,0.046,0.036000000000000004,0.03
Oregon,0.042,0.038,0.04,0.052000000000000005,0.076,0.037000000000000005,0.04,0.040999999999999995,0.048,0.055,0.067,0.078,0.087,0.095,0.106,0.106,0.063,0.052000000000000005,0.054000000000000006,0.062,0.07400000000000001,0.08,0.075,0.064,0.052000000000000005
Pennsylvania,0.036000000000000004,0.037000000000000005,0.040999999999999995,0.059000000000000004,0.08800000000000001,0.043,0.044000000000000004,0.05,0.053,0.054000000000000006,0.06,0.071,0.076,0.077,0.08199999999999999,0.08,0.054000000000000006,0.046,0.047,0.05,0.054000000000000006,0.057,0.055999999999999994,0.048,0.042
Rhode Island,0.043,0.03,0.032,0.055999999999999994,0.092,0.035,0.04,0.045,0.052000000000000005,0.06,0.078,0.095,0.10300000000000001,0.111,0.11599999999999999,0.11199999999999999,0.076,0.051,0.052000000000000005,0.051,0.053,0.055,0.051,0.045,0.04
South Carolina,0.040999999999999995,0.03,0.032,0.039,0.06,0.027999999999999997,0.034,0.042,0.049,0.059000000000000004,0.063,0.07400000000000001,0.09,0.10300000000000001,0.111,0.11,0.069,0.055999999999999994,0.063,0.068,0.069,0.067,0.061,0.052000000000000005,0.037000000000000005
South Dakota,0.018000000000000002,0.018000000000000002,0.019,0.025,0.040999999999999995,0.027000000000000003,0.027999999999999997,0.03,0.03,0.03,0.034,0.037000000000000005,0.04,0.046,0.049,0.046,0.031,0.027999999999999997,0.03,0.035,0.036000000000000004,0.035,0.032,0.03,0.025
Tennessee,0.034,0.032,0.034,0.045,0.07400000000000001,0.033,0.035,0.037000000000000005,0.047,0.055,0.065,0.077,0.079,0.09,0.098,0.10400000000000001,0.065,0.046,0.052000000000000005,0.055,0.053,0.055,0.052000000000000005,0.046,0.038
Texas,0.040999999999999995,0.04,0.039,0.055999999999999994,0.077,0.035,0.039,0.044000000000000004,0.046,0.045,0.052000000000000005,0.063,0.067,0.08,0.083,0.076,0.049,0.044000000000000004,0.05,0.055,0.06,0.068,0.064,0.05,0.044000000000000004
Utah,0.032,0.027000000000000003,0.024,0.027999999999999997,0.048,0.025,0.028999999999999998,0.031,0.033,0.035,0.036000000000000004,0.042,0.048,0.07200000000000001,0.083,0.076,0.033,0.026000000000000002,0.027999999999999997,0.04,0.05,0.055999999999999994,0.057,0.044000000000000004,0.033
Vermont,0.023,0.019,0.024,0.036000000000000004,0.055999999999999994,0.021,0.025,0.028999999999999998,0.031,0.035,0.039,0.044000000000000004,0.048,0.054000000000000006,0.062,0.065,0.045,0.039,0.037000000000000005,0.035,0.036000000000000004,0.043,0.039,0.032,0.027999999999999997
Virginia,0.028999999999999998,0.027000000000000003,0.027000000000000003,0.038,0.065,0.027999999999999997,0.03,0.036000000000000004,0.04,0.044000000000000004,0.051,0.055,0.057999999999999996,0.063,0.068,0.068,0.040999999999999995,0.031,0.031,0.035,0.037000000000000005,0.040999999999999995,0.042,0.032,0.023
Washington,0.045,0.042,0.040999999999999995,0.052000000000000005,0.087,0.042,0.044000000000000004,0.047,0.052000000000000005,0.055,0.059000000000000004,0.067,0.085,0.094,0.1,0.091,0.052000000000000005,0.046,0.05,0.055999999999999994,0.063,0.073,0.07200000000000001,0.061,0.051
West Virginia,0.040999999999999995,0.039,0.039,0.051,0.083,0.049,0.051,0.052000000000000005,0.061,0.065,0.065,0.067,0.07200000000000001,0.077,0.084,0.08,0.045,0.045,0.048,0.051,0.054000000000000006,0.061,0.061,0.053,0.055999999999999994
Wisconsin,0.03,0.027999999999999997,0.027999999999999997,0.038,0.064,0.032,0.03,0.033,0.039,0.044000000000000004,0.053,0.067,0.069,0.075,0.084,0.08800000000000001,0.049,0.048,0.047,0.047,0.05,0.055999999999999994,0.053,0.044000000000000004,0.034
Wyoming,0.032,0.028999999999999998,0.034,0.045,0.059000000000000004,0.037000000000000005,0.040999999999999995,0.043,0.053,0.042,0.044000000000000004,0.047,0.054000000000000006,0.061,0.069,0.063,0.03,0.027000000000000003,0.031,0.036000000000000004,0.038,0.043,0.040999999999999995,0.039,0.038
